Company: MicroStrategy (MSTR)
Quarter,Total BTC,Max mNAV,Q-end mNAV,BTC/Share,BTC Yield (%),Ann. Yield (%),P/BYD
Q1 2024,214278,2.167,1.885,0.00128204,5.985251810455987,24.273521231293724,2.917095006289666
Q2 2024,226331,2.031,1.756,0.00127601,-0.4703441390284209,-1.907506786059707,
Q3 2024,252220,2.215,2.126,0.00129435,1.4372928111848773,5.764965671236046,13.45680348994859
Q4 2024,446400,3.311,1.775,0.00182315,40.85448294510757,163.86688214246442,0.5913794395287842
Q1 2025,528185,2.093,1.732,0.00202792,11.508113250083856,47.19619478966975,1.420802516101303
Q2 2025,597325,2.059,1.656,0.00213833,5.444494851867925,22.080451343686587,2.5282184206570735
OVERALL,,,,,76.77408154492244,51.32333290090969,1.2176384142648866

Company: Metaplanet (3350.T)
Quarter,Total BTC,Max mNAV,Q-end mNAV,BTC/Share,BTC Yield (%),Ann. Yield (%),P/BYD
Q1 2025,3350,11.09,3.907,8.33e-06,73.18087318087319,300.1238057417833,0.9828112319917321
Q2 2025,13350,7.971,4.801,2.194e-05,137.18918918918922,556.3783783783786,0.833785900418192
OVERALL,,,,,356.13305613305613,722.1586971586971,0.7446609046175169
